Job_title,cleaned_job
flutter developer,look hire expert flutter developer eligible post type fulltime parttime salary 2000000 4000000 per month benefit flexible schedule food allowance schedule day shift supplemental pay join bonus overtime pay total work 1 year prefer housing rent subsidy yes industry software development work remotely temporarily due covid19
django developer,pythondjango developerlead codepdj 04 strong python api development restrpc work api framework djangoflask evaluate improve efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal write communication work knowledge sql json prefer good knowledge automate unit testing use pyunit
machine learning,data scientist contractor bangalore responsibility look capable datum scientist join analytic team report locally india bangalore person responsibility include research design development machine learn deep learning algorithm tackle variety fraud orient challenge datum scientist work closely software engineer program manager deliver endtoend product include datum collection big scale analysis explore different algorithmic approach model development assessment validation way production qualification least 3 year handson development complex machine learning model use modern framework tool ideally python base solid understanding statistic apply mathematics creative thinker prove ability tackle open problem nontrivial solution software development use python java similar language graduate msc computer science mathematic equivalent preferably machine learning ability write clean concise code quick learner independent methodical detail orient team player positive attitude collaborative good communication dedicate make thing happen flexible capable make decision ambiguous change environment advantage prior software developer datum engineer advantage big datum advantage spark big advantage deep learn framework pytorch tensorflow keras advantage telecommunication domain andor fraud prevention advantage
ios developer,description strong framework outside io always plus io generalist engineer background relate technology plus discipline approach development documentation file structure strong visual design sense excellent taste constant desire improve learn take thing higher excellent understanding network mobile network issue concurrency threading work internationalized app responsibility design build advanced application io platform collaborate crossfunctional team define design ship new feature work bug fix improve application performance continuously discover evaluate implement new technology maximize development efficiency publish one io app app store deep familiarity objectivec cocoa touch work io framework core datum core animation core graphic core text thirdparty librarie apis work knowledge general mobile landscape architecture trend emerge technology solid understand full mobile development life cycle responsible work different layer io app help architect maintain set native mobile application
full stack developer,responsibility full stack engineer react role make impact petsmart transforming engineering team meet need rapidly change retail environment role foundational help build craft petsmart prowess making react j native key framework across mobile web property work across web mobile application part build amazing mobile first customer impact customer store digital channel goal responsibility include act full stack developer across petsmart various web mobile solution full stack engineer help build petsmart competency use react j native across mobile web property partner web engineering team strategy share component across application good practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintain spirit proactively make recommendation technical enhancement well performance scalability maintainability accountable deliver agile environment createsoversee completion technical development mobile web solution work cross functional business team design develop solution base business requirement identify area improvement design implementation process tool automate testing quality assurance mentor le experienced developer remain current late web technology seek integrate solution appropriate bring table 5 + year handson web development 2 + year recent work react strong various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise mvc objectoriented programming concept implement responsive design adaptive design demonstrate strong frontend development skill especially concern accessibility extensibility clientside computing objectoriented design pattern objectoriente cs sasslesspostcss framework demonstrate passion user design usability familiar experienced make use open source component ability address short term tactical requirement without lose site long range strategic direction selfmotivate discipline meet deadline speed accuracy professional attitude excellent write oral communication skill excellent analytical troubleshooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team grow fast pace ever invest heavily cuttingedge technology importantly people petsmart team department value business partner every area company every level associate empower come innovative idea strategic impact business take pride work behind allfor love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun rewarding workplace include pet friendly environment bring pet work worklife balance family event movie night art event holiday festival top dog gym equipment fitness class massage therapist personal trainer sit stay caf serve fresh breakfast lunch option starbuck cartproductivity fine lil paw learn center onsite childcare facility volunteer event petsmart charity submit
java developer,software developer integration immediate opening dynamic akron cleveland area company look experienced software developer integration developer design develop test maintain enhance multiple system serve internal user well supplier customer integration developer interact internal business partner deliver system advance company strategy improve enterprise capability candidate need demonstrate follow skillset prove technical expertise design development code testing debug enterprise software strong knowledge web service wsdl soap restful work relational database author maintain datum access database query familiar standard software design pattern methodology mvc architecture proficient follow technology c net net core html5 css3 mssql mysql reactjs work andor administer microsoft iis syspros erp package plus require candidate must able execute follow function create deploy code configuration associate support project work across application portfolio assist create evolve standardize technical process source code management continuous integration etc submit code configuration high level quality performance security scalability extensibility assist creation evaluation business requirement project plan requirement include take pride deliver work time quality good problem solve decision make ability ability learn quickly fastpace environment ability work independently team effectively juggle continuous mix support project work able work hour provide oncall support need ideal must selfstarter able work independently skillset mention position require highly responsible organize individual good work ethic minimum two year use tool technology note compensation commensurate industry manufacturingother education bachelors degree computer science information system relate field combination education equivalent work type contract software development 2 year require work location one location work remotely
full stack developer,senior full stack developer 1800026h cwt look senior full stack developer prove backend skill well strong frontend skill role use cuttingedge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop backend system design scale analyze business software requirement develop backend software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification bsc degree computer science engineering relevant field equivalent industry minimum 2 year develop follow nodejs java nosql solution mongodb elasticsearch redis reactangular knowledge singlepage application spa development advantage javascript cs html responsive ui cross browser advantage experience develop rich largescale web application advantage develop robust http apis backend service passion technology building product team player excellent interpersonal skill selfmotivate independent learner eligible must valid passport able travel israel 6 week training shortly hire primary location usilchicago work home employment type standard family information technology scope global travel yes 15 time shift day organization p thotel product level 3 5 year posting may 9 2018 equal opportunity employeraffirmative action employer organization discriminate employment practice due applicant race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protect class
javascript developer,description reactjs + nodejs azure function graphql capability strong hand javascript framework like reactjs hand nodejs hand azure function integration strong hand html5css3javascript excellent write verbal communication knowledge rest well graphql range 3 8 year educational qualification graduation pg doctorate responsibility implement visual component build rich ui complex internal external system take ownership module build foundation new system inline improve quality process productivity passion quality write clean solid readable code scale perform well require reactjs nodejs azure function graphql code kldp3pzb64
devops engineer,main responsibility deliverable managesupport rollout scalability execution automation consume various team ensure automation service scale handle rapid growth use automation establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automation achieve optimal application performance stability strong scripting bash ruby python java solid work commercial grade automate deployment configuration mgmt tool puppet chef cloudify cfengine puppet strongly covet strong handson open source provision tool cobbler foreman php linux likewise open source system tool utility strong senior level linux window os troubleshooting application debug performance scalability capacity planning expertise manage full system lifecycle automation include configuration code deployment user acceptance test production environment improve automate product performance health check selfheale capability complex highly available cloud environment participate assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devop orient organization partner rd team engineer resilient supportable scalable product architect solution leverage good cloud infrastructure tool software urban code hadoop tomcat mule openam apache f5 load balancer network theory protocol tcpip http ntp dns hardware component
software engineer,overview base silicon valley tintri wholly own subsidiary datadirect network ddncom dataatscale powerhouse world large privately hold storage company tintri solution serve need enterprise datum centre intelligent infrastructure product portfolio include advanced technology tintri acquire september 2018 nexenta acquire may 2019 intelliflash acquire western digital november 2019 portfolio offer fresh choice new elevate user experience automation analytic insight tight integration application workflow enterprise application include missioncritical database business application virtualization flexible software define solution learn tintri portfolio solution httpswwwtintricomproduct tintri look motivated passionate individual selfmotivate work career value thriving environment collaboration teamwork well together qu provide game change storage solution description location pune red senior software engineer rest api dev description responsibility look senior software engineer red tintri storage engineering team design build deliver configuration deployment tool ddn red software storage product participate definition implementation red rest api allow configure deploy manage red solution premise cloud participate system tool definition implementation provide interaction storage deployment perform analytic provide valueadde service customer user development competency knowledge rest api strong develop debugging cc++ linuxunix develop python go experiences git gerrit jenkins good writtenverbal communication english ideal knowledge several follow subject knowledge configuration deployment large system cloud premise knowledge deployment vms container knowledge development utilization control datum plane api system management minimum 7 year software development excellent writtenverbal communication excellent time management ability independently prioritize multitask work deadline fast pace environment strong interpersonal ability interact effectively program staff strong team player highly effective analytical problem solve decision make influence capability storage industry desire minimum bs ms computer engineering computer science relate technical field
